topic,topic_label,n_cases,n_agree,n_disagree,agreement_rate,disagreement_rate,n_agree_positive,n_agree_negative,agree_positive_share
patent,Patent,6361,6321,40,0.9937116805533721,0.006288319446627889,379,5942,0.05995886726783737
nhs,NHS,6361,6284,77,0.9878949850652413,0.012105014934758686,1153,5131,0.1834818586887333
drug_trial,Drug Trial,6361,6164,197,0.9690300267253577,0.030969973274642352,335,5829,0.05434782608695652
museum,Museum,6361,6028,333,0.9476497406068228,0.052350259393177175,866,5162,0.14366290643662907
manufacturing,Manufacturing,6361,5994,367,0.9423046690771891,0.05769533092281088,361,5633,0.060226893560226896
startup,Startup,6361,5947,414,0.9349158937274014,0.06508410627259865,182,5765,0.03060366571380528
heritage,Heritage,6361,5731,630,0.9009589687156108,0.09904103128438925,233,5498,0.04065608096318269
school,School,6361,5597,764,0.8798930985694073,0.12010690143059267,1288,4309,0.23012328032874754
charity,Charity,6361,5500,861,0.8646439239113347,0.13535607608866532,1524,3976,0.2770909090909091
legislation,Legislation,6361,5237,1124,0.8232982235497563,0.17670177645024368,616,4621,0.1176245942333397
software,Software,6361,5116,1245,0.804276057223707,0.19572394277629304,638,4478,0.12470680218921032
